osm_id,road_type,is_flooded,source_file,lon,lat
27319920,residential,True,chennai-flooded-streets-Dec2.geojson,80.2180802822113,12.971801640005708
30604287,residential,True,chennai-flooded-streets-Dec2.geojson,80.22228062152863,12.972259047725842
178647163,residential,True,chennai-flooded-streets-Dec2.geojson,80.22002220153809,12.973767180363936
28571973,residential,True,chennai-flooded-streets-Dec2.geojson,80.2195394039154,12.973884798642771
30604287,residential,False,chennai-flooded-streets-Dec2.geojson,80.22228062152863,12.972259047725842
27319928,residential,True,chennai-flooded-streets-Dec2.geojson,80.22233963012695,12.971153426481663
27319926,residential,True,chennai-flooded-streets-Dec2.geojson,80.22053986787796,12.97165788311996
27319916,residential,True,chennai-flooded-streets-Dec2.geojson,80.21705031394958,12.97187743905748
132509266,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.2211594581604,12.972073470980803
28571972,residential,True,chennai-flooded-streets-Dec2.geojson,80.21898955106735,12.9737959315039
27355171,residential,True,chennai-flooded-streets-Dec2.geojson,80.22233963012695,12.97257008449506
232405500,residential,True,chennai-flooded-streets-Dec2.geojson,80.22187024354935,12.974629713117025
30604296,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.2219507098198,12.975751001223514
30604298,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22199630737305,12.975751001223514
30604294,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22199630737305,12.974959043015389
30609125,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22199630737305,12.975290986201742
30604299,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22229135036469,12.975732705187767
30604290,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22367000579834,12.97617442338911
27355157,residential,True,chennai-flooded-streets-Dec2.geojson,80.22245228290558,12.975063592098266
30604293,residential,True,chennai-flooded-streets-Dec2.geojson,80.22261589765549,12.974825742870976
30604291,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22318720817566,12.97489108608795
213364679,residential,True,chennai-flooded-streets-Dec2.geojson,80.22199630737305,12.97278702587694
213364679,residential,True,chennai-flooded-streets-Dec2.geojson,80.22121578454971,12.972807935879658
30604288,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.21993905305862,12.973356822822126
132509251,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22298872470856,12.972611904535214
132509247,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22296726703644,12.972266888993701
132509264,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.2229431271553,12.971872211537416
132509262,residential,True,chennai-flooded-streets-Dec2.geojson,80.2227446436882,12.971843460175066
132509266,unclassified,False,chennai-flooded-streets-Dec2.geojson,80.22199630737305,12.971451395811371
27319928,residential,True,chennai-flooded-streets-Dec2.geojson,80.22254079580307,12.971359914037592
165273142,residential,True,chennai-flooded-streets-Dec2.geojson,80.22253006696701,12.971124675036236
132509259,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22353053092957,12.97092341482518
188010447,residential,True,chennai-flooded-streets-Dec2.geojson,80.22302359342575,12.971880052817468
132509267,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22350907325745,12.972609290782898
132509256,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22349834442139,12.971446168282355
27319927,residential,True,chennai-flooded-streets-Dec2.geojson,80.22560387849808,12.971132516339864
132509252,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22350370883942,12.972358370433923
151332578,residential,True,chennai-flooded-streets-Dec2.geojson,80.22351175546646,12.97277918462548
132509267,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22507548332214,12.974198447114432
151332455,residential,True,chennai-flooded-streets-Dec2.geojson,80.22350370883942,12.97355023983701
30609123,unclassified,True,chennai-flooded-streets-Dec2.geojson,80.22488504648209,12.976982059964868
